transaction_id,user_id,card_number,amount,txn_status,timestamp,ip_address,current_latitude,current_longitude,current_country
T100000,U036,4051935252595755,200,APPROVED,2025-01-02T11:34:00Z,103.25.119.180,51.5074,-0.1278,UK
T100001,U039,4815501079858765,3000,DECLINED,2025-02-04T15:44:00Z,103.25.54.114,1.3521,103.8198,SG
T100002,U007,4478447589560231,800,APPROVED,2024-11-25T08:26:00Z,103.25.169.130,25.2048,55.2708,AE
T100003,U011,4654295713580010,1500,DECLINED,2025-01-31T06:46:00Z,103.25.199.37,35.6895,139.6917,JP
T100004,U006,4664355604898943,7500,APPROVED,2025-01-05T19:45:00Z,103.25.146.40,51.5074,-0.1278,UK
T100005,U043,4181966774569602,20,DECLINED,2025-01-01T18:08:00Z,103.25.169.130,40.7128,-74.006,US
T100006,U039,4815501079858765,3000,APPROVED,2025-02-06T23:29:00Z,103.25.221.102,1.3521,103.8198,SG
T100007,U003,4366733370117217,200,DECLINED,2025-01-19T05:21:00Z,103.25.169.130,25.2048,55.2708,AE
T100008,U024,4548650786649554,200,DECLINED,2024-12-10T08:20:00Z,103.25.7.237,25.2048,55.2708,AE
T100009,U020,4246962095041311,5000,DECLINED,2024-12-18T22:25:00Z,103.25.128.250,51.5074,-0.1278,UK
T100010,U029,4401542615062311,100,DECLINED,2024-12-16T20:50:00Z,103.25.40.144,43.6532,-79.3832,CA
T100011,U042,4242283032023707,7500,DECLINED,2025-01-10T19:40:00Z,103.25.5.217,35.6895,139.6917,JP
T100012,U021,4539790722675550,800,DECLINED,2024-11-24T16:46:00Z,103.25.199.37,28.6139,77.209,IN
T100013,U040,4550390080534426,1500,APPROVED,2025-02-15T08:58:00Z,103.25.69.8,1.3521,103.8198,SG
T100014,U003,4366733370117217,5000,DECLINED,2024-11-22T18:14:00Z,103.25.153.222,40.7128,-74.006,US
T100015,U048,4205006583423736,400,APPROVED,2024-12-13T22:47:00Z,103.25.69.8,40.7128,-74.006,US
T100016,U022,4184558821404666,50,APPROVED,2025-02-16T12:15:00Z,103.25.119.180,1.3521,103.8198,SG
T100017,U032,4840776366963157,5000,APPROVED,2024-12-16T10:20:00Z,103.25.128.250,43.6532,-79.3832,CA
T100018,U027,4798440738947356,3000,APPROVED,2025-01-20T03:04:00Z,103.25.221.102,-33.8688,151.2093,AU
T100019,U044,4295998851325494,100,DECLINED,2025-01-21T11:38:00Z,103.25.54.114,-33.8688,151.2093,AU
T100020,U015,4475012425495794,7500,DECLINED,2025-01-20T08:47:00Z,103.25.221.102,40.7128,-74.006,US
T100021,U012,4427777155944133,400,APPROVED,2024-12-31T18:19:00Z,103.25.54.114,-33.8688,151.2093,AU
T100022,U009,4539790670957684,400,DECLINED,2024-12-26T03:32:00Z,103.25.7.237,28.6139,77.209,IN
T100023,U027,4798440738947356,100,APPROVED,2024-12-17T15:45:00Z,103.25.210.19,25.2048,55.2708,AE
T100024,U006,4664355604898943,5000,APPROVED,2025-01-05T01:24:00Z,103.25.7.237,40.7128,-74.006,US
T100025,U002,4488447292387101,400,APPROVED,2024-12-17T01:01:00Z,103.25.146.40,43.6532,-79.3832,CA
T100026,U028,4564738488217210,7500,DECLINED,2024-11-23T10:19:00Z,103.25.40.144,25.2048,55.2708,AE
T100027,U003,4366733370117217,100,APPROVED,2025-01-02T06:43:00Z,103.25.7.237,40.7128,-74.006,US
T100028,U013,4201963422354037,50,APPROVED,2025-01-23T03:03:00Z,103.25.128.250,51.5074,-0.1278,UK
T100029,U041,4697537059781160,7500,APPROVED,2025-01-29T19:55:00Z,103.25.40.144,35.6895,139.6917,JP
T100030,U029,4401542615062311,200,DECLINED,2024-11-19T14:34:00Z,103.25.153.222,-33.8688,151.2093,AU
T100031,U008,4120041677504770,400,APPROVED,2024-11-20T23:18:00Z,103.25.199.37,40.7128,-74.006,US
T100032,U047,4819022541148375,10000,DECLINED,2024-12-15T07:29:00Z,103.25.85.49,43.6532,-79.3832,CA
T100033,U010,4019215168167574,10000,DECLINED,2025-01-11T23:24:00Z,103.25.128.250,1.3521,103.8198,SG
T100034,U033,4340687695756764,5000,DECLINED,2024-11-23T07:33:00Z,103.25.85.49,51.5074,-0.1278,UK
T100035,U004,4515326900120741,200,APPROVED,2025-01-19T23:05:00Z,103.25.199.37,43.6532,-79.3832,CA
T100036,U030,4052153612497166,7500,DECLINED,2025-02-17T00:53:00Z,103.25.210.19,1.3521,103.8198,SG
T100037,U032,4840776366963157,3000,APPROVED,2024-12-06T07:42:00Z,103.25.54.114,25.2048,55.2708,AE
T100038,U002,4488447292387101,20,DECLINED,2025-02-07T22:44:00Z,103.25.146.40,35.6895,139.6917,JP
T100039,U028,4564738488217210,50,APPROVED,2024-12-06T19:24:00Z,103.25.146.40,-33.8688,151.2093,AU
T100040,U013,4201963422354037,800,APPROVED,2024-12-15T17:54:00Z,103.25.199.37,40.7128,-74.006,US
T100041,U032,4840776366963157,5000,DECLINED,2024-11-28T11:58:00Z,103.25.119.180,25.2048,55.2708,AE
T100042,U027,4798440738947356,1500,DECLINED,2025-01-28T03:38:00Z,103.25.7.237,28.6139,77.209,IN
T100043,U047,4819022541148375,50,APPROVED,2025-02-11T06:32:00Z,103.25.40.144,28.6139,77.209,IN
T100044,U027,4798440738947356,3000,APPROVED,2025-01-07T17:17:00Z,103.25.69.8,51.5074,-0.1278,UK
T100045,U012,4427777155944133,400,APPROVED,2024-12-30T14:37:00Z,103.25.128.250,51.5074,-0.1278,UK
T100046,U002,4488447292387101,50,DECLINED,2024-12-30T04:22:00Z,103.25.153.222,43.6532,-79.3832,CA
T100047,U026,4597591669186023,3000,APPROVED,2025-01-14T00:15:00Z,103.25.221.102,25.2048,55.2708,AE
T100048,U013,4201963422354037,50,APPROVED,2025-02-05T07:19:00Z,103.25.7.237,25.2048,55.2708,AE
T100049,U011,4654295713580010,20,APPROVED,2025-02-07T14:11:00Z,103.25.69.8,-33.8688,151.2093,AU
T100050,U026,4597591669186023,400,APPROVED,2025-02-04T16:50:00Z,103.25.210.19,1.3521,103.8198,SG
T100051,U007,4478447589560231,20,APPROVED,2025-02-06T19:18:00Z,103.25.169.130,28.6139,77.209,IN
T100052,U021,4539790722675550,400,APPROVED,2025-02-08T07:46:00Z,103.25.210.19,35.6895,139.6917,JP
T100053,U043,4181966774569602,20,APPROVED,2025-01-09T23:15:00Z,103.25.199.37,43.6532,-79.3832,CA
T100054,U002,4488447292387101,7500,APPROVED,2025-01-18T22:31:00Z,103.25.69.8,35.6895,139.6917,JP
T100055,U022,4184558821404666,3000,APPROVED,2025-02-03T01:01:00Z,103.25.210.19,51.5074,-0.1278,UK
T100056,U025,4377140791788260,100,APPROVED,2025-01-14T08:44:00Z,103.25.119.180,-33.8688,151.2093,AU
T100057,U003,4366733370117217,7500,APPROVED,2025-01-14T19:50:00Z,103.25.169.130,1.3521,103.8198,SG
T100058,U014,4610176326755020,7500,DECLINED,2025-01-31T02:34:00Z,103.25.128.250,28.6139,77.209,IN
T100059,U032,4840776366963157,20,APPROVED,2025-02-07T06:44:00Z,103.25.128.250,35.6895,139.6917,JP
T100060,U039,4815501079858765,400,DECLINED,2024-11-22T22:00:00Z,103.25.5.217,1.3521,103.8198,SG
T100061,U009,4539790670957684,3000,DECLINED,2024-12-18T01:02:00Z,103.25.40.144,1.3521,103.8198,SG
T100062,U018,4813461910159710,20,APPROVED,2025-02-16T23:46:00Z,103.25.40.144,51.5074,-0.1278,UK
T100063,U049,4590944761272304,5000,DECLINED,2024-12-11T02:55:00Z,103.25.40.144,28.6139,77.209,IN
T100064,U034,4167851668553255,100,APPROVED,2025-01-28T20:48:00Z,103.25.48.27,-33.8688,151.2093,AU
T100065,U027,4798440738947356,100,APPROVED,2024-11-21T23:29:00Z,103.25.221.102,25.2048,55.2708,AE
T100066,U001,4175959888374840,3000,DECLINED,2025-01-11T02:14:00Z,103.25.146.40,28.6139,77.209,IN
T100067,U031,4506132098000719,7500,APPROVED,2025-01-30T20:10:00Z,103.25.5.217,28.6139,77.209,IN
T100068,U034,4167851668553255,50,DECLINED,2025-01-11T21:38:00Z,103.25.146.40,28.6139,77.209,IN
T100069,U023,4014557409669569,7500,DECLINED,2025-01-29T23:33:00Z,103.25.153.222,43.6532,-79.3832,CA
T100070,U020,4246962095041311,1500,APPROVED,2025-01-05T04:28:00Z,103.25.119.180,28.6139,77.209,IN
T100071,U019,4076757405958878,1500,APPROVED,2024-11-22T01:38:00Z,103.25.169.130,1.3521,103.8198,SG
T100072,U024,4548650786649554,400,DECLINED,2025-01-07T09:50:00Z,103.25.5.217,1.3521,103.8198,SG
T100073,U041,4697537059781160,200,APPROVED,2025-01-14T12:37:00Z,103.25.69.8,-33.8688,151.2093,AU
